variant,test_mse,test_mae,delta_mse,best_val_mse,n_params,epochs_run,elapsed_sec
baseline,2.532752,1.255781,+0.000000,2.184819,10535943,2,2.5
no-attention,3.254257,1.364489,+0.721505,2.763825,10535943,2,1.9
no-ffn,2.784846,1.287152,+0.252094,2.804447,10535943,2,1.8
no-residual,2.670270,1.275879,+0.137518,2.684530,10535943,2,2.4
no-layernorm,2.516125,1.191304,-0.016627,2.643116,10535943,2,2.3
